#{"t_start": 1748559770.8096426, "env_id": "Maze-v0"}
r,l,t
-202.0,11,1.295399
-238.0,13,1.317121
-193.0,11,1.336958
-200.0,11,1.354519
-412.0,15,1.38364
-237.0,12,1.405272
-242.0,13,1.425818
-272.0,14,1.449161
-129.0,10,1.877911
-530.0,19,1.910585
-235.0,12,1.93164
-201.0,11,1.952053
-161.0,10,1.969334
-194.0,12,1.99053
-438.0,18,2.018023
-312.0,11,2.048606
-457.0,16,2.074879
-279.0,16,2.099733
-201.0,11,2.117121
-267.0,14,2.140312
-304.0,14,2.162858
-396.0,15,2.188447
-272.0,14,2.216637
-443.0,18,2.24473
-267.0,12,2.263805
-289.0,12,2.282973
-300.0,14,2.306176
-204.0,12,2.327659
-433.0,17,2.357506
-272.0,14,2.38717
-205.0,13,2.408544
-284.0,12,2.434144
-329.0,13,2.456569
-339.0,14,2.478577
-139.0,11,2.497269
-166.0,11,2.517589
-175.0,12,2.536416
-182.0,13,2.561819
-138.0,12,2.585065
-270.0,13,2.607276
-170.0,11,2.627386
-360.0,15,2.652184
-269.0,13,2.673425
-269.0,13,2.694963
-333.0,14,2.717006
-399.0,16,2.75434
-240.0,13,2.776673
-198.0,11,2.795108
-221.0,11,2.814858
-271.0,14,2.837449
-258.0,11,2.861309
-236.0,13,2.881496
-297.0,14,2.908793
-308.0,14,2.936895
-360.0,14,2.966564
-367.0,16,2.993871
-259.0,11,3.013139
-361.0,14,3.04112
-263.0,14,3.069027
-662.0,24,3.116964
-337.0,15,3.14358
-391.0,14,3.165504
-176.0,12,3.184876
-296.0,12,3.204185
-256.0,10,3.221134
-291.0,12,3.241558
-203.0,12,3.260859
-236.0,14,3.291074
-109.0,10,3.309025
-209.0,12,3.329544
-329.0,13,3.351695
-296.0,14,3.377076
-272.0,14,3.400122
-270.0,13,3.420803
-196.0,11,3.442137
-318.0,13,3.473719
-331.0,15,3.499452
-519.0,20,3.529619
-349.0,17,3.559055
-227.0,12,3.581956
-239.0,12,3.600916
-283.0,11,3.624046
-257.0,12,3.653012
-357.0,14,3.680756
-135.0,11,3.702409
-396.0,15,3.726937
-341.0,17,3.755344
-71.0,10,3.77459
-236.0,13,3.796467
-268.0,13,3.819348
-208.0,13,3.847106
-214.0,10,3.87202
-267.0,12,3.892184
-174.0,12,3.912077
-238.0,12,3.931304
-173.0,11,3.949171
-294.0,14,3.972087
-379.0,17,3.998834
-335.0,14,4.031231
-249.0,11,4.063018
-230.0,12,4.086193
-274.0,14,4.10902
-201.0,11,4.127272
-309.0,16,4.153542
-172.0,12,4.176062
-514.0,16,4.207294
-266.0,12,4.229764
-235.0,14,4.254273
-367.0,15,4.277118
-237.0,13,4.298625
-311.0,12,4.32339
-104.0,10,4.339452
-343.0,15,4.363569
-296.0,13,4.389382
-250.0,11,4.413258
-240.0,13,4.434898
-279.0,15,4.45872
-203.0,12,4.477723
-336.0,16,4.505292
-306.0,15,4.528446
-291.0,13,4.556841
-306.0,14,4.581814
-437.0,18,4.611117
-274.0,15,4.634855
-309.0,15,4.661367
-307.0,14,4.684629
-299.0,13,4.707421
-213.0,14,4.736465
-157.0,10,4.757616
-152.0,11,4.783839
-262.0,13,4.804753
-262.0,14,4.829323
-239.0,13,4.85112
-272.0,13,4.871608
-233.0,12,4.890696
-267.0,13,4.917866
-294.0,12,4.93975
-305.0,16,4.967199
-300.0,13,4.987273
-296.0,14,5.011287
-203.0,12,5.030024
-231.0,12,5.049369
-233.0,11,5.067594
-266.0,13,5.096807
-199.0,12,5.119098
-215.0,14,5.141238
-274.0,10,5.15897
-269.0,13,5.182719
-239.0,12,5.201855
-362.0,15,5.226425
-259.0,13,5.251545
-212.0,13,5.280034
-231.0,11,5.301639
-306.0,15,5.327898
